FullName,ClubName,AgeGroup,Position,FIFARating,MinutesPlayed,GAContribution,FantasyScore,MarketValue,TransferStatus
Rben Nascimento Vinagre,Everton,22-25,Midfielder,73,24,0,1,5000000,Retained
Sam Greenwood,Leeds United,21 and under,Midfielder,67,410,3,1.7,5000000,Retained
Thomas Strakosha,Brentford,26-29,Goalkeeper,78,0,0,0,5000000,Retained
Cédric Ricardo Alves Soares,Arsenal,30 and above,Defender,75,223,0,1.2,4000000,Retained
Jairo Riedewald,Crystal Palace,22-25,Midfielder,74,60,0,1,4000000,Retained
Adam Smith,AFC Bournemouth,30 and above,Defender,74,2940,1,2,4000000,Retained
Fraser Forster,Tottenham Hotspur,30 and above,Goalkeeper,76,1215,0,2.9,4000000,Retained
Jason Steele,Brighton & Hove Albion,30 and above,Goalkeeper,65,1350,1,4.3,4000000,Retained
Joe Rothwell,AFC Bournemouth,26-29,Midfielder,72,1010,1,1.6,4000000,Transferred
Jordan Zemura,AFC Bournemouth,22-25,Defender,70,1452,1,2.5,4000000,Transferred
Ludwig Augustinsson,Aston Villa,26-29,Defender,77,76,0,0.7,4000000,Transferred
Shola Shoretire,Manchester United,21 and under,Midfielder,64,0,0,0,4000000,Transferred
Mateusz Klich,Leeds United,30 and above,Midfielder,74,266,0,0.9,4000000,Retained
Matt Ritchie,Newcastle United,30 and above,Midfielder,73,35,0,1,4000000,Retained
Nathan Ferguson,Crystal Palace,21 and under,Defender,68,0,0,0,4000000,Retained
Nathaniel Clyne,Crystal Palace,30 and above,Defender,74,1638,0,2,4000000,Retained
Neeskens Kebano,Fulham,30 and above,Midfielder,73,758,4,2.4,4000000,Retained
Paul Dummett,Newcastle United,30 and above,Defender,73,0,0,0,4000000,Retained
Robin Olsen,Aston Villa,30 and above,Goalkeeper,75,280,0,2.5,4000000,Retained
Willian Borges da Silva,Fulham,30 and above,Midfielder,77,2127,12,4.3,4000000,Retained
Cody Drameh,Leeds United,21 and under,Defender,68,70,0,1,3500000,Retained
Diego da Silva Costa,Wolverhampton Wanderers,30 and above,Forward,76,1235,1,1.4,3500000,Retained
Mark Travers,AFC Bournemouth,22-25,Goalkeeper,73,1035,0,2.3,3500000,Transferred
Nampalys Mendy,Leicester City,30 and above,Midfielder,74,746,1,1.6,3500000,Transferred
Yerson Mosquera,Wolverhampton Wanderers,21 and under,Defender,64,0,0,0,3500000,Transferred
Luka Milivojevi_,Crystal Palace,30 and above,Midfielder,74,500,0,1.3,3000000,Retained
Angelo Ogbonna,West Ham United,30 and above,Defender,79,1234,0,2.8,3000000,Retained
Ben Pearson,AFC Bournemouth,26-29,Midfielder,73,282,0,1.3,3000000,Retained
Darko Gyabi,Leeds United,21 and under,Midfielder,57,7,0,1,3000000,Retained
Harry Arter,Nottingham Forest,30 and above,Midfielder,65,0,0,0,3000000,Retained
Jack Stacey,AFC Bournemouth,26-29,Defender,73,293,0,0.6,3000000,Retained
James McArthur,Crystal Palace,30 and above,Midfielder,75,50,0,1,3000000,Retained
James Tomkins,Crystal Palace,30 and above,Defender,72,335,1,1.3,3000000,Retained
Javier Manquillo Gait‚àûn,Newcastle United,26-29,Defender,74,34,0,1,3000000,Retained
Andros Townsend,Everton,30 and above,Midfielder,76,0,0,0,3000000,Transferred
Facundo Pellistri,Manchester United,21 and under,Midfielder,70,60,0,1,3000000,Transferred
James Milner,Liverpool,30 and above,Midfielder,78,889,1,1.4,3000000,Transferred
Malcolm Ebiowei,Crystal Palace,21 and under,Midfielder,65,31,0,1,3000000,Transferred
Omari Hutchinson,Chelsea,21 and under,Midfielder,64,22,0,1,3000000,Transferred
Saman Ghoddos,Brentford,26-29,Midfielder,68,124,0,1,3000000,Retained
Shandon Baptiste,Brentford,22-25,Midfielder,70,600,2,1.3,3000000,Retained
Siriki Dembélé,AFC Bournemouth,22-25,Forward,69,104,0,1,2800000,Retained
Joel Ward,Crystal Palace,30 and above,Defender,74,2253,1,2.8,2800000,Retained
Dexter Lembikisa,Wolverhampton Wanderers,21 and under,Midfielder,55,22,0,1,2800000,Transferred
Emiliano Marcondes,AFC Bournemouth,26-29,Midfielder,70,8,0,1,2800000,Transferred
Morgan Rogers,Manchester City,21 and under,Midfielder,66,0,0,0,2800000,Transferred
Loïc Badé,Nottingham Forest,22-25,Defender,73,0,0,0,2500000,Retained
Loïc Mbe Soh,Nottingham Forest,21 and under,Defender,66,0,0,0,2500000,Retained
Adam Forshaw,Leeds United,30 and above,Midfielder,73,473,0,1.3,2500000,Retained
Francisco Jorge Tavares Oliveira,Wolverhampton Wanderers,22-25,Midfielder,69,0,0,0,2500000,Retained
Marcus Bettinelli,Chelsea,30 and above,Goalkeeper,70,0,0,0,2500000,Retained
Norberto Murara Neto,AFC Bournemouth,30 and above,Goalkeeper,81,2385,0,3.4,2500000,Retained
Tote Antnio Gomes,Wolverhampton Wanderers,22-25,Defender,69,978,1,2.5,2500000,Retained
João Filipe Moutinho,Wolverhampton Wanderers,30 and above,Midfielder,81,1773,2,1.8,2000000,Retained
Alex Smithies,Leicester City,30 and above,Goalkeeper,71,0,0,0,2000000,Retained
Amario Cozier-Duberry,Arsenal,21 and under,Midfielder,59,0,0,0,2000000,Retained
